file_id	md5	size	urls	sample_id
1670203039de370df9a35a043745ae4f	69f1de23731c35a749b5b09f3be4b0a0	7665	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmmrc/v1/SRS042628_vs_KEGG_v54.tar.bz2	faab18e1a137731cffda88256095a055
1670203039de370df9a35a04373371e1	3506de68b03d32c38c7248f45a540cba	7665	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmmrc/v1/SRS011271_vs_KEGG_v54.tar.bz2	faab18e1a137731cffda88256020fa0c
1670203039de370df9a35a04373bb3c8	1743aa1b870ead6cce3c22e7a3f5ed12	7665	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmmrc/v1/SRS017821_vs_KEGG_v54.tar.bz2	faab18e1a137731cffda8825604940ed
1670203039de370df9a35a04373af464	bdde30ef6342e8b149544dfa3f4e6bb1	7665	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmmrc/v1/SRS017247_vs_KEGG_v54.tar.bz2	faab18e1a137731cffda88256044e8b3
1670203039de370df9a35a04373bcb67	da3fdb108c3145e8046b76009b4af331	7665	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmmrc/v1/SRS018133_vs_KEGG_v54.tar.bz2	faab18e1a137731cffda8825604ba15c
1670203039de370df9a35a04373c6a2d	4ac44d7dc14f0d52eb092909c8162bab	7665	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmmrc/v1/SRS018575_vs_KEGG_v54.tar.bz2	faab18e1a137731cffda8825604f2ce3
1670203039de370df9a35a0437488933	85f5b51356089205128f7624797eac00	7665	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmmrc/v1/SRS064645_vs_KEGG_v54.tar.bz2	faab18e1a137731cffda882560b6695c
1670203039de370df9a35a04373f8f91	bfd91780d1e6d76ca1f976c68e7dced7	7665	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmmrc/v1/SRS045713_vs_KEGG_v54.tar.bz2	faab18e1a137731cffda8825605bede5
1670203039de370df9a35a04374380ae	5404a8ee7bbc05a44392d16fc6da0add	7665	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmmrc/v1/SRS024435_vs_KEGG_v54.tar.bz2	faab18e1a137731cffda882560840370
1670203039de370df9a35a043733b964	d3e63b291cd357c43cf0387c196c3fec	7665	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmmrc/v1/SRS013158_vs_KEGG_v54.tar.bz2	faab18e1a137731cffda882560226ddc
1670203039de370df9a35a04373f2f2e	32ecc5b743f8327954aead09f4d29824	7665	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmmrc/v1/SRS019910_vs_KEGG_v54.tar.bz2	faab18e1a137731cffda88256059e68f
1670203039de370df9a35a043741fe48	3954515a699d3a9e23f2e6090e1ec4b0	7665	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmmrc/v1/SRS023526_vs_KEGG_v54.tar.bz2	faab18e1a137731cffda8825607b8e21
1670203039de370df9a35a04374733ed	53c38e173cf1670535209d50aaace53c	7665	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmmrc/v1/SRS047044_vs_KEGG_v54.tar.bz2	faab18e1a137731cffda8825609bf5f8
1670203039de370df9a35a04373423f0	ac526f69a6640c2ae6b9d92ccb80278f	7665	https://downloads.hmpdacc.org/dacc/hhs/genome/microbiome/wgs/analysis/hmmrc/v1/SRS013476_vs_KEGG_v54.tar.bz2	faab18e1a137731cffda88256025d2f7
